Ward_No,Static_Heat_Score,Vulnerability_Score,Response_Gap_Score
88,0.4352,0.7025403225806451,0.4679999999999999
89,0.616,0.4805403225806451,0.502
90,0.6072,0.4172096774193548,0.56
91,0.5984,0.5638064516129032,0.591
92,0.236,0.6804435483870968,0.621
93,0.1944,0.5639919354838709,0.647
94,0.4968,0.8646209677419355,0.6699999999999999
95,0.4592,0.5297580645161291,0.722
96,0.2648,0.4173387096774194,0.6579999999999999
97,0.4032,0.5722016129032259,0.732
98,0.556,0.3551612903225806,0.624
99,0.7536,0.4566532258064516,0.62
100,0.188,0.3431048387096774,0.6930000000000001
101,0.4928,0.3132822580645161,0.73
102,0.2135999999999999,0.4684838709677419,0.78
103,0.3488,0.4948548387096774,0.806
104,0.3096,0.405241935483871,0.696
105,0.36,0.5235645161290323,0.788
106,0.312,0.2811935483870967,0.8
107,0.1695999999999999,0.5691854838709678,0.836
108,0.6799999999999999,0.5298870967741935,0.87
109,0.2792,0.5140725806451613,0.904
110,0.1456,0.4594516129032258,0.958
111,0.188,0.4389758064516129,0.94
112,0.3184,0.4564193548387096,0.924
113,0.1224,0.4835887096774193,0.928
114,0.4536,0.4215967741935483,0.896
115,0.3631999999999999,0.4663709677419355,0.868
116,0.4592,0.4813790322580645,0.813
117,0.4752,0.5068306451612904,0.706
118,0.2696,0.5316048387096775,0.654
119,0.3144,0.5691774193548387,0.722
120,0.7687999999999999,0.3222983870967742,0.866
121,0.3608,0.5106935483870968,0.908
122,0.3944,0.4543467741935483,0.886
123,0.4911999999999999,0.5998387096774194,0.934
124,0.7024,0.3587822580645161,0.943
125,0.9952,0.3457177419354839,0.994
126,0.9976,0.3743306451612903,1.0
127,0.8424,0.3932661290322581,0.994
128,0.4624,0.376024193548387,0.98
129,0.6248,0.4430403225806452,0.962
130,0.7511999999999999,0.4120564516129033,0.905
131,0.6215999999999999,0.3949677419354839,0.822
132,0.8152,0.4364274193548387,0.754
133,0.9664,0.4773387096774193,0.66
134,0.3088,0.5531693548387098,0.746
135,0.4672,0.4577741935483871,0.77
136,0.4376,0.4795564516129033,0.83
137,0.4472,0.5247983870967742,0.766
138,0.4055999999999999,0.3585,0.6859999999999999
139,0.544,0.6025241935483872,0.526
140,0.436,0.5417580645161291,0.463
141,0.016,0.4452419354838709,0.309
142,0.3271999999999999,0.4093870967741935,0.108
143,0.3328,0.4725967741935484,0.29
144,0.2808,0.4828629032258064,0.126
145,0.448,0.4189838709677419,0.006
146,0.2992,0.3602016129032258,0.08
147,0.5464,0.554483870967742,0.06
148,0.0296,0.3484596774193548,0.1629999999999999
149,0.1071999999999999,0.4103629032258064,0.123
150,0.0104,0.3554112903225806,0.127
151,0.1328,0.4258467741935484,0.212
152,0.0728,0.4734274193548388,0.211
153,0.0576,0.4140967741935484,0.316
154,0.0224,0.4935645161290322,0.088
155,0.072,0.5387096774193548,0.054
156,0.5064,0.37975,0.498
157,0.7032,0.3687661290322581,0.616
158,0.7424,0.4192741935483871,0.634
159,0.1728,0.406991935483871,0.32
160,0.3696,0.3859435483870967,0.3399999999999999
161,0.4456,0.4487862903225806,0.358
162,0.552,0.7098709677419355,0.432
163,0.6799999999999999,0.6137862903225807,0.4589999999999999
164,0.036,0.6698790322580646,0.388
165,0.2135999999999999,0.7009516129032258,0.354
166,0.256,0.6268870967741935,0.265
167,0.3552,0.5420645161290323,0.266
168,0.5775999999999999,0.5137903225806452,0.521
169,0.5904,0.4026774193548387,0.534
170,0.4784,0.5884032258064517,0.418
171,0.0664,0.3672338709677419,0.322
172,0.0608,0.4457258064516128,0.138
173,0.0848,0.3340725806451613,0.154
174,0.3496,0.4006290322580645,0.282
175,0.4247999999999999,0.4026129032258064,0.282
176,0.7223999999999999,0.6059193548387096,0.296
177,0.9528,0.7176935483870968,0.27
178,0.9304,0.597,0.385
179,0.8576,0.7047177419354839,0.512
180,0.9752,0.6597903225806452,0.5680000000000001
181,0.8456,0.5538709677419354,0.664
182,0.8592,0.4784919354838709,0.71
183,0.8672,0.4703548387096774,0.652
184,0.9296,0.3763145161290322,0.687
185,0.9256,0.5346451612903226,0.51
186,0.912,0.5473629032258065,0.429
187,0.4632,0.3150806451612903,0.278
188,0.3384,0.3580161290322581,0.296
189,0.22,0.3440403225806452,0.291
190,0.2496,0.4693064516129032,0.174
191,0.1176,0.5783145161290323,0.137
192,0.1168,0.643475806451613,0.137
193,0.5008,0.4678951612903225,0.18
194,0.9168,0.6167499999999999,0.237
195,0.9728,0.6918951612903226,0.1599999999999999
196,0.5176000000000001,0.5545564516129032,0.147
197,0.1383999999999999,0.4368145161290322,0.203
198,0.5871999999999999,0.5425725806451613,0.186
199,0.5176000000000001,0.636008064516129,0.198
200,0.4376,0.4775483870967742,0.18
201,0.0624,0.3191854838709677,0.217
202,0.38,0.5305806451612903,0.242
203,0.3696,0.4080241935483871,0.344
204,0.252,0.3991693548387097,0.2239999999999999
205,0.9408,0.438258064516129,0.147
206,0.7416,0.3676209677419355,0.1669999999999999
207,0.8824,0.595766129032258,0.138
208,0.4927999999999999,0.4045241935483871,0.1999999999999999
209,0.484,0.3993870967741936,0.27
210,0.2176,0.3842903225806452,0.35
211,0.4592,0.3971774193548387,0.329
212,0.5856,0.5017338709677419,0.36
213,0.7152000000000001,0.4497016129032258,0.326
214,0.6856,0.5254677419354838,0.286
215,0.764,0.5545887096774194,0.185
216,0.9432,0.4653467741935483,0.126
217,0.896,0.5520806451612903,0.186
218,0.84,0.712733870967742,0.272
219,0.6176,0.608508064516129,0.18
220,0.6816,0.5508629032258064,0.188
221,0.7552000000000001,0.5965806451612903,0.262
222,0.8176,0.549741935483871,0.16
223,0.8608,0.4672338709677419,0.172
224,0.7864,0.5561935483870968,0.26
225,0.9088,0.4164072580645162,0.398
226,0.536,0.4334072580645161,0.362
227,0.6344,0.3366666666666666,0.362
228,0.7712,0.4692258064516129,0.374
229,0.3288,0.4766854838709677,0.4319999999999999
230,0.3936,0.4372177419354839,0.514
231,0.6912,0.637258064516129,0.446
232,0.6304,0.4072741935483871,0.438
233,0.7104000000000001,0.4690322580645161,0.404
234,0.8191999999999999,0.4971370967741936,0.3399999999999999
235,0.6824,0.5321129032258065,0.277
236,0.7392,0.3002177419354838,0.286
237,0.9304,0.6429274193548388,0.3339999999999999
238,0.9912,0.6498306451612903,0.3339999999999999
239,0.8432,0.6859596774193548,0.38
240,0.9392,0.6827983870967742,0.465
241,0.5824,0.6606290322580646,0.556
242,0.6648000000000001,0.6023225806451613,0.5780000000000001
243,0.7936000000000001,0.5060483870967742,0.48
244,0.5864,0.5102500000000001,0.536
245,0.7512,0.5181532258064516,0.481
246,0.7576,0.4960887096774194,0.528
247,0.6168,0.5004516129032258,0.5640000000000001
248,0.7928,0.5136451612903226,0.624
249,0.1384,0.409508064516129,0.5760000000000001
250,0.052,0.3315161290322581,0.5940000000000001
